SALON,Address,City,ST,Zip,DSC,Six Month Sale
AZALON HAIR STUDIO,813 S MUSTANG RD,YUKON,OK,73099,Pam,2984.59
BACKSTREET SALON,2401 NW 23RD,OKLAHOMA CITY,OK,73132,Michael,141.49
BARCELONA SALON,1901 N BOOMER,STILLWATER,OK,74076,Michael,0
BARE ESSENTIALS,2839 S DOUGLAS BLVD ,MIDWEST CITY,OK,73130,Vicki,747.22
BARKING DOG BAKERY,7710 N MAY,OKLAHOMA CITY,OK,73116,Pam,75.53
BEATRIZ REUES-TORRES,1224 SW 55TH ST,OKLAHOMA CITY,OK,73109,Pam,153
BEAUTIFUL MAKEOVER,10802 QUAIL PLAZA DR,OKLAHOMA CITY,OK,73120,Pam,473.92
BEAUTY BIZZ,6401 NW EXPWAY ,OKLAHOMA CITY,OK,73132,Michael,46172.34
BEAUTY BOUTIQUE,1530 SW 119TH ,OKLAHOMA CITY,OK,73160,Vicki,2554.11
BEDLAM BARBER SHOP,904 S SOONER RD,OKLAHOMA CITY,OK,73165,Vicki,49.2
BEHIND THE SCENE,224 W GRAY ,NORMAN,OK,73069,Vicki,859.88
BELLA CAPELLI SALON,10621 S WESTERN AVE,OKLAHOMA CITY,OK,73170,Vicki,4327.82
BELLA DONNA SALON,201 N BROADWAY,MOORE,OK,73160,Vicki,123.68
BELLA E SALON,1198 LONNIE ABBOTT BLVD,ADA,OK,74820,Vicki,0
BELLA IMAGE,20266 E 1110 RD,ELK CITY,OK,73644,Pam,5846.13
BELLA ROSE,324 N 3RD STREET,DURANT,OK,74701,Pam,19.21
BELLA SALON,21 E 4TH ST,EDMOND,OK,73034,Michael,4986.09
BELLA SALON,410 SW 27TH ST,EL RENO,OK,73036,Pam,212.18
BELLA STRADA,3224 S BROADWAY,EDMOND,OK,73013,Michael,8793.4
BELLE VIE SALON & SPA,1130 RAMBLING OAKS DR,NORMAN,OK,73072,Vicki,91.87
BELLEFONTES,2750 S POST RD,MIDWEST CITY,OK,73170,Vicki,839.85
BELLEZA,1008 NW 46TH,OKLAHOMA CITY,OK,73118,Pam,312.02
BELLO NAIL & SPA,3410 S BROADWAY,EDMOND,OK,73013,Michael,14.43
BETHANY BEAUTY COLLEGE,3900 N PENIEL AVE,BETHANY,OK,73008,Michael,621.39
BETTER BODIES DAY SPA & SALON,1117 N SPURGEON,ALTUS,OK,73521,Vicki,246
BEVERLI BLACK,9224 COLBY CT,GUTHRIE,OK,73044,Vicki,256.11
